date,equity
2023-01-03,1.0
2023-01-04,1.006188584585856
2023-01-05,0.9997864517524879
2023-01-06,1.0218581688814585
2023-01-09,1.0243652360005442
2023-01-10,1.0271040907714153
2023-01-11,1.0401148093969548
2023-01-12,1.0397407955656934
2023-01-13,1.0460535760724505
2023-01-17,1.0515493480335698
2023-01-18,1.0481612093111774
2023-01-19,1.0484403656740755
2023-01-20,1.0605314484938393
2023-01-23,1.0754851028537928
2023-01-24,1.0819787798978129
2023-01-25,1.0789270760461829
2023-01-26,1.0885101977540559
2023-01-27,1.097447469271643
2023-01-30,1.0842266558803342
2023-01-31,1.090095033926807
2023-02-01,1.0952626744796656
2023-02-02,1.1196186617535309
2023-02-03,1.1360098149908875
2023-02-06,1.1237893885160635
2023-02-07,1.1367654552886126
2023-02-08,1.1247253815608398
2023-02-09,1.1200612929923093
2023-02-10,1.1217118867814684
2023-02-13,1.1343693297535657
2023-02-14,1.1314936979980508
2023-02-15,1.1409327286766642
2023-02-16,1.133793086964628
2023-02-17,1.1286594125970026
2023-02-21,1.1105918233480911
2023-02-22,1.1125217636604758
2023-02-23,1.1147182403083078
2023-02-24,1.1026757141437633
2023-02-27,1.1081322052579632
2023-02-28,1.105839850188459
2023-03-01,1.09638759265847
2023-03-02,1.0991039891279006
2023-03-03,1.1222445207414575
2023-03-06,1.1347280221540825
2023-03-07,1.1248582353019445
2023-03-08,1.130512079937619
2023-03-09,1.1203954101344709
2023-03-10,1.111065541816876
2023-03-13,1.1199092776394948
2023-03-14,1.129376510689388
2023-03-15,1.1311526574791
2023-03-16,1.1438402374014844
2023-03-17,1.140097174696632
2023-03-20,1.1506890371375755
2023-03-21,1.1589354100698726
2023-03-22,1.1526051616106545
2023-03-23,1.1574250014442082
2023-03-24,1.1631929181574399
2023-03-27,1.1546132048881599
2023-03-28,1.151855716711661
2023-03-29,1.165533404385968
2023-03-30,1.172449560819355
2023-03-31,1.183454905921494
2023-04-03,1.1889235748442792
2023-04-04,1.1866054142027906
2023-04-05,1.178567179380053
2023-04-06,1.182453645131568
2023-04-10,1.1711215643634576
2023-04-11,1.165787506656982
2023-04-12,1.1627425192493521
2023-04-13,1.1865347980208927
2023-04-14,1.1850297608378102
2023-04-17,1.1851158396371473
2023-04-18,1.1904522675382243
2023-04-19,1.1954294563698833
2023-04-20,1.1912360718709734
2023-04-21,1.1842453736091674
2023-04-24,1.1855801139585525
2023-04-25,1.1788680572039003
2023-04-26,1.1788248651238848
2023-04-27,1.1989085397820358
2023-04-28,1.2043332857368094
2023-05-01,1.2039500576237994
2023-05-02,1.1994775442825947
2023-05-03,1.194823203625584
2023-05-04,1.1877162471023541
2023-05-05,1.221157876648898
2023-05-08,1.2208622389451116
2023-05-09,1.2135581961389457
