Ticker,Ticker_1,score
AAPL,AAPL,-0.022924096503579627
AAPL,AMZN,
AAPL,GOOGL,
AAPL,META,
AAPL,MSFT,
AAPL,NVDA,
MSFT,AAPL,
MSFT,AMZN,
MSFT,GOOGL,
MSFT,META,
MSFT,MSFT,0.08635892398209122
MSFT,NVDA,
NVDA,AAPL,
NVDA,AMZN,
NVDA,GOOGL,
NVDA,META,
NVDA,MSFT,
NVDA,NVDA,0.13112874478338643
AMZN,AAPL,
AMZN,AMZN,0.06452347471604347
AMZN,GOOGL,
AMZN,META,
AMZN,MSFT,
AMZN,NVDA,
GOOGL,AAPL,
GOOGL,AMZN,
GOOGL,GOOGL,0.07422746614498865
GOOGL,META,
GOOGL,MSFT,
GOOGL,NVDA,
META,AAPL,
META,AMZN,
META,GOOGL,
META,META,0.08390206217003304
META,MSFT,
META,NVDA,
