Date,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,NVDA,NVDA,AMZN,AMZN,AMZN,AMZN,AMZN,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,META,META,META,META,META
2023-01-03,AAPL,123.4706039428711,129.2260441509053,122.5821116407929,128.61397753423014,112117500.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,AMZN,,,,,,,,,,,,,,,,85.81999969482422,86.95999908447266,84.20999908447266,85.45999908447266,76706000.0,,,,,,,,,,
2023-01-03,GOOGL,,,,,,,,,,,,,,,,,,,,,88.58870697021484,90.50720142957682,87.99227784940533,89.05589865844571,28131200.0,,,,,
2023-01-03,META,,,,,,,,,,,,,,,,,,,,,,,,,,124.05940246582031,125.68051385944831,121.61282541184728,122.14988002190493,35528500.0
2023-01-03,MSFT,,,,,,234.8089599609375,240.8560876090647,232.67236512033801,238.23926029311136,25740000.0,,,,,,,,,,,,,,,,,,,,
2023-01-03,NVDA,,,,,,,,,,,14.302288055419922,14.982684045584206,14.083482661648983,14.837812346255225,401277000.0,,,,,,,,,,,,,,,
2023-01-04,AAPL,124.7441177368164,127.01470850998557,123.48048749262259,125.26733892869382,89113600.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-04,AMZN,,,,,,,,,,,,,,,,85.13999938964844,86.9800033569336,83.36000061035156,86.55000305175781,68885100.0,,,,,,,,,,
2023-01-04,GOOGL,,,,,,,,,,,,,,,,,,,,,87.5549087524414,90.10958727306334,86.74973244852455,89.81137270362576,34854800.0,,,,,
2023-01-04,META,,,,,,,,,,,,,,,,,,,,,,,,,,126.675048828125,128.34588274584758,125.16333797564083,126.68498880311247,32397100.0
2023-01-04,MSFT,,,,,,224.5376739501953,228.23258683276063,221.46020498304858,227.65433977112923,50623400.0,,,,,,,,,,,,,,,,,,,,
2023-01-04,NVDA,,,,,,,,,,,14.735898971557617,14.839806686261648,14.228350775855713,14.554061423652792,431324000.0,,,,,,,,,,,,,,,
2023-01-05,AAPL,123.42125701904297,126.1360903730334,123.16458728849297,125.50427521319664,80962700.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,AMZN,,,,,,,,,,,,,,,,83.12000274658203,85.41999816894531,83.06999969482422,85.33000183105469,67930800.0,,,,,,,,,,
2023-01-05,GOOGL,,,,,,,,,,,,,,,,,,,,,85.68610382080078,87.04793910774279,85.3878968623734,86.94853678826699,27194400.0,,,,,
2023-01-05,META,,,,,,,,,,,,,,,,,,,,,,,,,,126.24739837646484,127.81877947591597,123.86049162591854,125.44181270064794,25447100.0
2023-01-05,MSFT,,,,,,217.8828887939453,223.01854417015397,217.34383857093007,222.67550813143782,39585600.0,,,,,,,,,,,,,,,,,,,,
2023-01-05,NVDA,,,,,,,,,,,14.252331733703613,14.55106598124575,14.135435060959392,14.478130857579426,389168000.0,,,,,,,,,,,,,,,
2023-01-06,AAPL,127.9624252319336,128.6238555191488,123.29291630250204,124.39859654565812,87754700.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-06,AMZN,,,,,,,,,,,,,,,,86.08000183105469,86.4000015258789,81.43000030517578,83.02999877929688,83303400.0,,,,,,,,,,
2023-01-06,GOOGL,,,,,,,,,,,,,,,,,,,,,86.81930541992188,87.16722490783211,84.35409457108759,86.27258888046856,41381500.0,,,,,
2023-01-06,META,,,,,,,,,,,,,,,,,,,,,,,,,,129.3105926513672,129.61889880968906,125.3523048808097,128.26631859778368,27584500.0
2023-01-06,MSFT,,,,,,220.45071411132812,221.26418720219093,214.98184795455603,218.55915550438465,43613600.0,,,,,,,,,,,,,,,,,,,,
2023-01-06,NVDA,,,,,,,,,,,14.845805168151855,14.996671100523281,14.021537972356791,14.461146825838346,405044000.0,,,,,,,,,,,,,,,
2023-01-09,AAPL,128.4856719970703,131.70399366511808,128.22900222762775,128.8015871566894,70790800.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-09,AMZN,,,,,,,,,,,,,,,,87.36000061035156,89.4800033569336,87.08000183105469,87.45999908447266,65266100.0,,,,,,,,,,
2023-01-09,GOOGL,,,,,,,,,,,,,,,,,,,,,87.4952621459961,89.51316659567206,87.33621993560529,87.83323916693293,29003900.0,,,,,
2023-01-09,META,,,,,,,,,,,,,,,,,,,,,,,,,,128.7635955810547,132.2246039865523,128.57462981837625,130.4443771431501,26649100.0
2023-01-09,MSFT,,,,,,222.5970458984375,226.6350089068908,221.90119346839506,221.94039031385265,27369800.0,,,,,,,,,,,,,,,,,,,,
2023-01-09,NVDA,,,,,,,,,,,15.61412239074707,16.04174181805573,15.127554388137481,15.270428004453912,504231000.0,,,,,,,,,,,,,,,
2023-01-10,AAPL,129.0582275390625,129.58144872233615,126.48160347682453,128.5942366688145,63896200.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-10,AMZN,,,,,,,,,,,,,,,,89.87000274658203,90.19000244140625,87.29000091552734,87.56999969482422,67756600.0,,,,,,,,,,
2023-01-10,GOOGL,,,,,,,,,,,,,,,,,,,,,87.89287567138672,88.1413852775039,85.31831979229013,85.46742707274271,30467800.0,,,,,
2023-01-10,META,,,,,,,,,,,,,,,,,,,,,,,,,,132.26438903808594,132.71193072520404,126.4562491417937,126.57558954488267,28684400.0
2023-01-10,MSFT,,,,,,224.2926483154297,226.70365108395583,222.80291366553493,223.22434339433113,27033900.0,,,,,,,,,,,,,,,,,,,,
2023-01-10,NVDA,,,,,,,,,,,15.894872665405273,15.947825096516842,15.458260461795822,15.493229228157693,384101000.0,,,,,,,,,,,,,,,
2023-01-11,AAPL,131.78294372558594,131.8026771210122,128.7916923794983,129.57158328133335,69458900.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-11,AMZN,,,,,,,,,,,,,,,,95.08999633789062,95.26000213623047,90.93000030517578,90.93000030517578,103126200.0,,,,,,,,,,
2023-01-11,GOOGL,,,,,,,,,,,,,,,,,,,,,90.97439575195312,91.05392064821854,88.47936469889615,88.64834941552648,26862000.0,,,,,
2023-01-11,META,,,,,,,,,,,,,,,,,,,,,,,,,,132.16493225097656,133.11970102877387,129.6288423862519,130.24546989556188,25423000.0
2023-01-11,MSFT,,,,,,231.07484436035156,231.2512526344681,226.5076407236404,226.68404899775695,28669300.0,,,,,,,,,,,,,,,,,,,,
2023-01-11,NVDA,,,,,,,,,,,15.986788749694824,16.013765197501424,15.54917801774992,15.82593243722272,353285000.0,,,,,,,,,,,,,,,
2023-01-12,AAPL,131.70396423339844,132.5430854442494,129.75915527463124,132.16795510561155,71379600.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-12,AMZN,,,,,,,,,,,,,,,,95.2699966430664,97.19000244140625,93.5,96.93000030517578,85254800.0,,,,,,,,,,
2023-01-12,GOOGL,,,,,,,,,,,,,,,,,,,,,90.58672332763672,91.32231725818158,89.2149529649027,90.93464286036736,30258100.0,,,,,
2023-01-12,META,,,,,,,,,,,,,,,,,,,,,,,,,,135.96409606933594,136.9287896399216,131.04109188376952,132.7119334388522,30757700.0
2023-01-12,MSFT,,,,,,233.76023864746094,235.12255719396836,228.90881734615303,230.57496007171358,27269500.0,,,,,,,,,,,,,,,,,,,,
2023-01-12,NVDA,,,,,,,,,,,16.496337890625,16.622225453634414,15.478242710576593,16.085703560434347,551409000.0,,,,,,,,,,,,,,,
2023-01-13,AAPL,133.0366973876953,133.19465493922883,129.97634891095512,130.34161256817276,57809700.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-13,AMZN,,,,,,,,,,,,,,,,98.12000274658203,98.37000274658203,94.12000274658203,94.18000030517578,85549400.0,,,,,,,,,,
2023-01-13,GOOGL,,,,,,,,,,,,,,,,,,,,,91.57081604003906,91.64039842156852,89.59267425215299,90.30838308154787,26329200.0,,,,,
2023-01-13,META,,,,,,,,,,,,,,,,,,,,,,,,,,136.23260498046875,136.64037157911716,134.10428186321369,134.2335774129154,22423800.0
2023-01-13,MSFT,,,,,,234.4658966064453,234.60310800553617,230.24172965416147,232.28030969416918,21333300.0,,,,,,,,,,,,,,,,,,,,
2023-01-13,NVDA,,,,,,,,,,,16.883995056152344,16.90697535031249,16.150647543027944,16.263546170378785,447287000.0,,,,,,,,,,,,,,,
2023-01-17,AAPL,134.2016143798828,135.53434166770566,132.4147629011091,133.10580835372033,63646600.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-17,AMZN,,,,,,,,,,,,,,,,96.05000305175781,98.88999938964844,95.7300033569336,98.68000030517578,72755000.0,,,,,,,,,,
2023-01-17,GOOGL,,,,,,,,,,,,,,,,,,,,,90.74575805664062,91.70003392234867,89.51315267808988,91.51116421695806,32602400.0,,,,,
2023-01-17,META,,,,,,,,,,,,,,,,,,,,,,,,,,134.6214599609375,136.00387534462192,133.51751564910782,135.4369780497878,21147600.0
2023-01-17,MSFT,,,,,,235.56362915039062,236.11247480825548,232.36853985579916,233.2310201495425,29831300.0,,,,,,,,,,,,,,,,,,,,
2023-01-17,NVDA,,,,,,,,,,,17.686279296875,17.712257183113643,16.883992908954816,16.883992908954816,511102000.0,,,,,,,,,,,,,,,
2023-01-18,AAPL,133.48094177246094,136.83745656269951,133.30323577852656,135.0703537024429,69672800.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-18,AMZN,,,,,,,,,,,,,,,,95.45999908447266,99.31999969482422,95.37999725341797,97.25,79570400.0,,,,,,,,,,
2023-01-18,GOOGL,,,,,,,,,,,,,,,,,,,,,90.57678985595703,92.24677482098227,90.09964804427332,91.59070577790615,29116700.0,,,,,
2023-01-18,META,,,,,,,,,,,,,,,,,,,,,,,,,,132.2942352294922,136.50115172193628,132.07543435513,135.0690060626696,20215500.0
2023-01-18,MSFT,,,,,,231.114013671875,237.55318409838128,230.8297953902502,236.7593170496167,30028700.0,,,,,,,,,,,,,,,,,,,,
2023-01-18,NVDA,,,,,,,,,,,17.361568450927734,17.857126341803287,17.266651599952407,17.651309913601228,439624000.0,,,,,,,,,,,,,,,
2023-01-19,AAPL,133.54019165039062,134.50765533885576,132.0593734264766,132.36540678256628,58280400.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-19,AMZN,,,,,,,,,,,,,,,,93.68000030517578,95.44000244140625,92.86000061035156,94.73999786376953,69002700.0,,,,,,,,,,
2023-01-19,GOOGL,,,,,,,,,,,,,,,,,,,,,92.49527740478516,93.05193648946374,90.08969868047147,90.17916608131551,37000400.0,,,,,
2023-01-19,META,,,,,,,,,,,,,,,,,,,,,,,,,,135.4071502685547,136.70006041523297,131.41903456451695,131.76713101092358,28625200.0
2023-01-19,MSFT,,,,,,227.311279296875,230.82979848155264,226.08617211757934,229.12444390420126,28623000.0,,,,,,,,,,,,,,,,,,,,
2023-01-19,NVDA,,,,,,,,,,,16.75010871887207,17.181726129417644,16.716140426947042,17.020867925227833,452932000.0,,,,,,,,,,,,,,,
2023-01-20,AAPL,136.10693359375,136.2550244536786,132.50361529041555,133.55005775379874,80223600.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-20,AMZN,,,,,,,,,,,,,,,,97.25,97.3499984741211,93.19999694824219,93.86000061035156,67481500.0,,,,,,,,,,
2023-01-20,GOOGL,,,,,,,,,,,,,,,,,,,,,97.4356460571289,97.71398319511445,94.45353069105923,94.53305558762652,63191100.0,,,,,
2023-01-20,META,,,,,,,,,,,,,,,,,,,,,,,,,,138.6095733642578,139.17647065056417,133.87555003840512,135.1485649693157,28688600.0
2023-01-20,MSFT,,,,,,235.4362030029297,235.94585178667532,229.8399067203441,230.18294271909866,35389800.0,,,,,,,,,,,,,,,,,,,,
2023-01-20,NVDA,,,,,,,,,,,17.823158264160156,17.840143365009215,16.810058837010637,16.99589257194811,564967000.0,,,,,,,,,,,,,,,
2023-01-23,AAPL,139.30548095703125,141.48722602727366,136.1365239219778,136.35371175932897,81760300.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-23,AMZN,,,,,,,,,,,,,,,,97.5199966430664,97.77999877929688,95.86000061035156,97.55999755859375,76501100.0,,,,,,,,,,
2023-01-23,GOOGL,,,,,,,,,,,,,,,,,,,,,99.1950912475586,99.44360084355391,96.9187424381722,97.36605667739936,40005100.0,,,,,
2023-01-23,META,,,,,,,,,,,,,,,,,,,,,,,,,,142.48831176757812,142.97562857637726,137.90346368613808,138.53001603681352,27470100.0
2023-01-23,MSFT,,,,,,237.7492218017578,240.2876405055047,234.8775625509585,236.29869896460573,31934000.0,,,,,,,,,,,,,,,,,,,,
2023-01-23,NVDA,,,,,,,,,,,19.175954818725586,19.227908681444084,17.80217600427692,18.04795590708496,655163000.0,,,,,,,,,,,,,,,
2023-01-24,AAPL,140.70733642578125,141.32928485597137,138.50585770726414,138.51572440513698,66435100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-24,AMZN,,,,,,,,,,,,,,,,96.31999969482422,98.08999633789062,96.0,96.93000030517578,66929500.0,,,,,,,,,,
2023-01-24,GOOGL,,,,,,,,,,,,,,,,,,,,,97.1175537109375,99.01617079422424,96.62053448501887,97.51517060845472,33078500.0,,,,,
2023-01-24,META,,,,,,,,,,,,,,,,,,,,,,,,,,142.3590087890625,144.2088609922605,140.5887219164417,140.9169232142469,21970200.0
2023-01-24,MSFT,,,,,,237.21998596191406,239.09195363040246,235.6518574862347,237.6708320585629,40234400.0,,,,,,,,,,,,,,,,,,,,
2023-01-24,NVDA,,,,,,,,,,,19.24789047241211,19.477687661634242,18.803285974223765,18.810279727152732,496204000.0,,,,,,,,,,,,,,,
2023-01-25,AAPL,140.0458984375,140.60860145852004,137.03489874919626,139.0883015683729,65799300.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-25,AMZN,,,,,,,,,,,,,,,,97.18000030517578,97.23999786376953,91.5199966430664,92.55999755859375,94261600.0,,,,,,,,,,
2023-01-25,GOOGL,,,,,,,,,,,,,,,,,,,,,94.65234375,95.58674233295737,93.20104850271382,95.00025569559745,42330000.0,,,,,
2023-01-25,META,,,,,,,,,,,,,,,,,,,,,,,,,,140.72796630859375,142.3888528531503,139.54445660201168,140.44949522181398,26622000.0
2023-01-25,MSFT,,,,,,235.81845092773438,238.45488418950694,226.30181098777524,229.81052003551318,66526600.0,,,,,,,,,,,,,,,,,,,,
2023-01-25,NVDA,,,,,,,,,,,19.30584144592285,19.35280059491453,18.5635011872948,18.896205671677528,449537000.0,,,,,,,,,,,,,,,
